Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
Q9H0D6	reviewed	XRN2_HUMAN	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)	XRN2	Homo sapiens (Human)	950	aggresome [GO:0016235]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 3'-5'-RNA exonuclease activity [GO:0000175]; 5'-3' exonuclease activity [GO:0008409]; 5'-3' RNA exonuclease activity [GO:0004534]; identical protein binding [GO:0042802]; nuclease activity [GO:0004518]; RNA binding [GO:0003723]; transcription termination site sequence-specific DNA binding [GO:0001147]; zinc ion binding [GO:0008270]; hippocampus development [GO:0021766]; mRNA processing [GO:0006397]; neuron differentiation [GO:0030182]; nuclear-transcribed mRNA catabolic process [GO:0000956]; retina development in camera-type eye [GO:0060041]; RNA catabolic process [GO:0006401]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]; rRNA processing [GO:0006364]; spermatogenesis [GO:0007283]; termination of RNA polymerase II transcription [GO:0006369]
Q9H0G5	reviewed	NSRP1_HUMAN	Nuclear speckle splicing regulatory protein 1 (Coiled-coil domain-containing protein 55) (Nuclear speckle-related protein 70) (NSrp70)	NSRP1 CCDC55 NSRP70	Homo sapiens (Human)	558	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; developmental process [GO:0032502]; in utero embryonic development [GO:0001701]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]
Q9H0J9	reviewed	PAR12_HUMAN	Protein mono-ADP-ribosyltransferase PARP12 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 12) (ARTD12) (Poly [ADP-ribose] polymerase 12) (PARP-12) (Zinc finger CCCH domain-containing protein 1)	PARP12 ZC3HDC1	Homo sapiens (Human)	701	nucleus [GO:0005634]; NAD+ poly-ADP-ribosyltransferase activity [GO:0003950]; NAD+-protein mono-ADP-ribosyltransferase activity [GO:1990404]; NAD+-protein-aspartate ADP-ribosyltransferase activity [GO:0140806]; NAD+-protein-cysteine ADP-ribosyltransferase activity [GO:0140803]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; protein auto-ADP-ribosylation [GO:0070213]
Q9H0K6	reviewed	PUS7L_HUMAN	Pseudouridylate synthase PUS7L (EC 5.4.99.-) (Pseudouridylate synthase 7 homolog-like protein)	PUS7L	Homo sapiens (Human)	701	nucleus [GO:0005634]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; mRNA pseudouridine synthesis [GO:1990481]; pseudouridine synthesis [GO:0001522]
Q9H0L4	reviewed	CSTFT_HUMAN	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant) (CSTF 64 kDa subunit tau variant) (TauCstF-64)	CSTF2T KIAA0689	Homo sapiens (Human)	616	intracellular membrane-bounded organelle [GO:0043231]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleoplasm [GO:0005654]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]
Q9H0S4	reviewed	DDX47_HUMAN	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)	DDX47	Homo sapiens (Human)	455	membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; rRNA processing [GO:0006364]
Q9H0Z9	reviewed	RBM38_HUMAN	RNA-binding protein 38 (CLL-associated antigen KW-5) (HSRNASEB) (RNA-binding motif protein 38) (RNA-binding region-containing protein 1) (ssDNA-binding protein SEB4)	RBM38 RNPC1 SEB4	Homo sapiens (Human)	239	cytosol [GO:0005829]; nucleus [GO:0005634]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; 3'-UTR-mediated mRNA stabilization [GO:0070935]; cell differentiation [GO:0030154]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; mRNA processing [GO:0006397]; negative regulation of cell population proliferation [GO:0008285]; regulation of cell cycle [GO:0051726]; regulation of myotube differentiation [GO:0010830]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]
Q9H171	reviewed	ZBP1_HUMAN	Z-DNA-binding protein 1 (DNA-dependent activator of IFN-regulatory factors) (DAI) (Tumor stroma and activated macrophage protein DLM-1)	ZBP1 C20orf183 DLM1	Homo sapiens (Human)	429	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; DNA binding [GO:0003677]; double-stranded RNA adenosine deaminase activity [GO:0003726]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; left-handed Z-DNA binding [GO:0003692]; RNA binding [GO:0003723]; activation of innate immune response [GO:0002218]; antiviral innate immune response [GO:0140374]; apoptotic process [GO:0006915]; defense response to fungus [GO:0050832]; defense response to virus [GO:0051607]; positive regulation of apoptotic process [GO:0043065]; positive regulation of inflammatory response [GO:0050729]; positive regulation of necroptotic process [GO:0060545]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; pyroptotic inflammatory response [GO:0070269]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-1-mediated signaling pathway [GO:2000659]
Q9H1B4	reviewed	NXF5_HUMAN	Nuclear RNA export factor 5 (TAP-like protein 1) (TAPL-1)	NXF5 TAPL1	Homo sapiens (Human)	397	cytoplasm [GO:0005737]; nuclear RNA export factor complex [GO:0042272]; nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA export from nucleus [GO:0006406]; poly(A)+ mRNA export from nucleus [GO:0016973]; RNA transport [GO:0050658]
Q9H1E3	reviewed	NUCKS_HUMAN	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (P1)	NUCKS1 NUCKS JC7	Homo sapiens (Human)	243	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; DNA-binding transcription factor binding [GO:0140297]; double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; transcription coactivator activity [GO:0003713]; cellular response to X-ray [GO:0071481]; chromatin organization [GO:0006325]; double-strand break repair via homologous recombination [GO:0000724]; gene conversion [GO:0035822]; interstrand cross-link repair [GO:0036297]; intracellular glucose homeostasis [GO:0001678]; modulation by host of viral genome replication [GO:0044827]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of insulin receptor signaling pathway [GO:0046626]; replication fork processing [GO:0031297]
Q9H1J1	reviewed	REN3A_HUMAN	Regulator of nonsense transcripts 3A (Nonsense mRNA reducing factor 3A) (Up-frameshift suppressor 3 homolog A) (hUpf3)	UPF3A RENT3A UPF3	Homo sapiens (Human)	476	cytoplasm [GO:0005737]; cytosol [GO:0005829]; exon-exon junction complex [GO:0035145]; intracellular membrane-bounded organelle [GO:0043231]; neuron projection [GO:0043005]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; mRNA binding [GO:0003729]; telomeric DNA binding [GO:0042162]; in utero embryonic development [GO:0001701]; mRNA transport [GO:0051028]; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:2000623]; positive regulation of mRNA cis splicing, via spliceosome [GO:1905746]; positive regulation of translation [GO:0045727]; spermatogenesis [GO:0007283]
Q9H2U1	reviewed	DHX36_HUMAN	ATP-dependent DNA/RNA helicase DHX36 (EC 3.6.4.12) (EC 3.6.4.13) (DEAD/H box polypeptide 36) (DEAH-box protein 36) (G4-resolvase-1) (G4R1) (MLE-like protein 1) (RNA helicase associated with AU-rich element protein)	DHX36 DDX36 KIAA1488 MLEL1 RHAU	Homo sapiens (Human)	1008	axon [GO:0030424]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; catalytic activity, acting on a nucleic acid [GO:0140640]; DNA helicase activity [GO:0003678]; double-stranded RNA binding [GO:0003725]; G-quadruplex DNA binding [GO:0051880]; G-quadruplex RNA binding [GO:0002151]; histone deacetylase binding [GO:0042826]; magnesium ion binding [GO:0000287]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; pre-miRNA binding [GO:0070883]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697]; telomerase RNA binding [GO:0070034]; transcription cis-regulatory region binding [GO:0000976]; 3'-UTR-mediated mRNA destabilization [GO:0061158]; cell differentiation [GO:0030154]; cellular response to arsenite ion [GO:1903843]; cellular response to heat [GO:0034605]; cellular response to UV [GO:0034644]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; negative regulation of translation [GO:0017148]; ossification [GO:0001503]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cardioblast differentiation [GO:0051891]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of gene expression [GO:0010628]; positive regulation of hematopoietic progenitor cell differentiation [GO:1901534]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of intracellular mRNA localization [GO:1904582]; positive regulation of mRNA 3'-end processing [GO:0031442]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of telomere maintenance [GO:0032206]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; regulation of embryonic development [GO:0045995]; regulation of mRNA stability [GO:0043488]; regulation of transcription by RNA polymerase III [GO:0006359]; response to exogenous dsRNA [GO:0043330]; spermatogenesis [GO:0007283]; telomerase RNA stabilization [GO:0090669]
Q9H2Y7	reviewed	ZN106_HUMAN	Zinc finger protein 106 (Zfp-106) (Zinc finger protein 474)	ZNF106 SH3BP3 ZFP106 ZNF474	Homo sapiens (Human)	1883	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; insulin receptor signaling pathway [GO:0008286]
Q9H307	reviewed	PININ_HUMAN	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)	PNN DRS MEMA	Homo sapiens (Human)	717	catalytic step 2 spliceosome [GO:0071013]; cell-cell junction [GO:0005911]; desmosome [GO:0030057]; intermediate filament [GO:0005882]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]; cell adhesion [GO:0007155]; mRNA splicing, via spliceosome [GO:0000398]
Q9H361	reviewed	PABP3_HUMAN	Polyadenylate-binding protein 3 (PABP-3) (Poly(A)-binding protein 3) (Testis-specific poly(A)-binding protein)	PABPC3 PABP3 PABPL3	Homo sapiens (Human)	631	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; mRNA metabolic process [GO:0016071]
Q9H3H3	reviewed	CK068_HUMAN	UPF0696 protein C11orf68 (Basophilic leukemia-expressed protein Bles03) (Protein p5326)	C11orf68 BLES03	Homo sapiens (Human)	292	RNA binding [GO:0003723]
Q9H3J6	reviewed	MTRFR_HUMAN	Mitochondrial translation release factor in rescue	MTRFR C12orf65 My030	Homo sapiens (Human)	166	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ribosomal large subunit binding [GO:0043023]; translation release factor activity, codon specific [GO:0016149]; tRNA binding [GO:0000049]; rescue of stalled ribosome [GO:0072344]
Q9H3Q1	reviewed	BORG4_HUMAN	Cdc42 effector protein 4 (Binder of Rho GTPases 4)	CDC42EP4 BORG4 CEP4	Homo sapiens (Human)	356	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; microtubule cytoskeleton [GO:0015630]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]; cellular response to type II interferon [GO:0071346]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of pseudopodium assembly [GO:0031274]; regulation of cell shape [GO:0008360]; Rho protein signal transduction [GO:0007266]
Q9H4D5	reviewed	NXF3_HUMAN	Nuclear RNA export factor 3 (TAP-like protein 3) (TAPL-3)	NXF3 TAPL3	Homo sapiens (Human)	531	cytoplasm [GO:0005737]; nuclear RNA export factor complex [GO:0042272]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA export from nucleus [GO:0006406]; poly(A)+ mRNA export from nucleus [GO:0016973]
Q9H583	reviewed	HEAT1_HUMAN	HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]	HEATR1 BAP28 UTP10	Homo sapiens (Human)	2144	90S preribosome [GO:0030686]; fibrillar center [GO:0001650]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; t-UTP complex [GO:0034455]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; neural precursor cell proliferation [GO:0061351]; positive regulation of rRNA processing [GO:2000234]; positive regulation of transcription by RNA polymerase I [GO:0045943]; protein localization to nucleolus [GO:1902570]; ribosomal small subunit biogenesis [GO:0042274]; rRNA metabolic process [GO:0016072]
Q9H5H4	reviewed	ZN768_HUMAN	Zinc finger protein 768	ZNF768	Homo sapiens (Human)	540	chromosome [GO:0005694]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA binding [GO:0003723]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]
Q9H5Q4	reviewed	TFB2M_HUMAN	Dimethyladenosine transferase 2, mitochondrial (EC 2.1.1.-) (Hepatitis C virus NS5A-transactivated protein 5) (HCV NS5A-transactivated protein 5) (Mitochondrial 12S rRNA dimethylase 2) (Mitochondrial transcription factor B2) (h-mtTFB) (h-mtTFB2) (hTFB2M) (mtTFB2) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 2)	TFB2M NS5ATP5	Homo sapiens (Human)	396	mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; mitochondrial transcription factor activity [GO:0034246]; RNA binding [GO:0003723]; rRNA (adenine-N6,N6-)-dimethyltransferase activity [GO:0000179]; rRNA (adenine-N6-)-methyltransferase activity [GO:0008988]; mitochondrial transcription [GO:0006390]; rRNA methylation [GO:0031167]; transcription initiation at mitochondrial promoter [GO:0006391]
Q9H5Z1	reviewed	DHX35_HUMAN	Probable ATP-dependent RNA helicase DHX35 (EC 3.6.4.13) (DEAH box protein 35)	DHX35 C20orf15 DDX35	Homo sapiens (Human)	703	catalytic step 2 spliceosome [GO:0071013]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; helicase activity [GO:0004386]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; in utero embryonic development [GO:0001701]; mRNA splicing, via spliceosome [GO:0000398]
Q9H633	reviewed	RPP21_HUMAN	Ribonuclease P protein subunit p21 (RNaseP protein p21) (Ribonuclease P/MRP 21 kDa subunit) (Ribonucleoprotein V)	RPP21 C6orf135 CAT60	Homo sapiens (Human)	154	multimeric ribonuclease P complex [GO:0030681]; nucleolar ribonuclease P complex [GO:0005655]; nucleoplasm [GO:0005654]; metal ion binding [GO:0046872]; ribonuclease P activity [GO:0004526]; ribonuclease P RNA binding [GO:0033204]; response to xenobiotic stimulus [GO:0009410]; tRNA 5'-leader removal [GO:0001682]; tRNA processing [GO:0008033]
Q9H694	reviewed	BICC1_HUMAN	Protein bicaudal C homolog 1 (Bic-C)	BICC1	Homo sapiens (Human)	974	cytoplasm [GO:0005737]; RNA binding [GO:0003723]; determination of left/right symmetry [GO:0007368]; heart development [GO:0007507]; kidney development [GO:0001822]; negative regulation of canonical Wnt signaling pathway [GO:0090090]
Q9H6E5	reviewed	STPAP_HUMAN	Speckle targeted PIP5K1A-regulated poly(A) polymerase (Star-PAP) (EC 2.7.7.19) (RNA-binding motif protein 21) (RNA-binding protein 21) (U6 snRNA-specific terminal uridylyltransferase 1) (U6-TUTase) (EC 2.7.7.52)	TUT1 RBM21	Homo sapiens (Human)	874	cytosol [GO:0005829]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; enzyme-substrate adaptor activity [GO:0140767]; mRNA 3'-UTR binding [GO:0003730]; poly(A) RNA polymerase activity [GO:1990817]; RNA binding [GO:0003723]; RNA uridylyltransferase activity [GO:0050265]; U6 snRNA binding [GO:0017070]; zinc ion binding [GO:0008270]; co-transcriptional mRNA 3'-end processing, cleavage and polyadenylation pathway [GO:0180010]; mRNA 3'-end processing [GO:0031124]; regulation of RNA metabolic process [GO:0051252]; RNA 3'-end processing [GO:0031123]; snRNA processing [GO:0016180]; U6 snRNA 3'-end processing [GO:0034477]
Q9H6F5	reviewed	CCD86_HUMAN	Coiled-coil domain-containing protein 86 (Cytokine-induced protein with coiled-coil domain)	CCDC86 CYCLON	Homo sapiens (Human)	360	chromosome [GO:0005694]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]
Q9H6R0	reviewed	DHX33_HUMAN	ATP-dependent RNA helicase DHX33 (EC 3.6.4.13) (DEAH box protein 33)	DHX33 DDX33	Homo sapiens (Human)	707	cytoplasm [GO:0005737]; NLRP3 inflammasome complex [GO:0072559]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA-binding transcription factor binding [GO:0140297]; double-stranded RNA binding [GO:0003725]; helicase activity [GO:0004386]; mRNA binding [GO:0003729]; rDNA binding [GO:0000182]; ribosomal large subunit binding [GO:0043023]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of type I interferon production [GO:0032481]; translational initiation [GO:0006413]
Q9H6R4	reviewed	NOL6_HUMAN	Nucleolar protein 6 (Nucleolar RNA-associated protein) (Nrap)	NOL6	Homo sapiens (Human)	1146	condensed nuclear chromosome [GO:0000794]; CURI complex [GO:0032545]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; UTP-C complex [GO:0034456]; RNA binding [GO:0003723]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; tRNA export from nucleus [GO:0006409]
Q9H6S0	reviewed	YTDC2_HUMAN	3'-5' RNA helicase YTHDC2 (EC 3.6.4.13) (YTH domain-containing protein 2) (hYTHDC2)	YTHDC2	Homo sapiens (Human)	1430	endoplasmic reticulum [GO:0005783]; perinuclear region of cytoplasm [GO:0048471]; ribonucleoprotein granule [GO:0035770]; 3'-5' RNA helicase activity [GO:0034458]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on RNA [GO:0008186]; helicase activity [GO:0004386]; N6-methyladenosine-containing RNA reader activity [GO:1990247]; RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]; germline cell cycle switching, mitotic to meiotic cell cycle [GO:0051729]; meiotic cell cycle [GO:0051321]; oocyte development [GO:0048599]; positive regulation by host of viral genome replication [GO:0044829]; response to interleukin-1 [GO:0070555]; response to tumor necrosis factor [GO:0034612]; spermatid development [GO:0007286]
Q9H6T0	reviewed	ESRP2_HUMAN	Epithelial splicing regulatory protein 2 (RNA-binding motif protein 35B) (RNA-binding protein 35B)	ESRP2 RBM35B PP7059	Homo sapiens (Human)	727	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; alternative mRNA splicing, via spliceosome [GO:0000380]; branching involved in salivary gland morphogenesis [GO:0060445]; epithelial cell proliferation [GO:0050673]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; positive regulation of epithelial cell proliferation [GO:0050679]; regulation of RNA splicing [GO:0043484]
Q9H7B2	reviewed	RPF2_HUMAN	Ribosome production factor 2 homolog (Brix domain-containing protein 1) (Ribosome biogenesis protein RPF2 homolog)	RPF2 BXDC1	Homo sapiens (Human)	306	chromosome [GO:0005694]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; 5S rRNA binding [GO:0008097]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; protein localization to nucleolus [GO:1902570]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]
Q9H7E2	reviewed	TDRD3_HUMAN	Tudor domain-containing protein 3	TDRD3	Homo sapiens (Human)	651	cytosol [GO:0005829]; DNA topoisomerase III-beta-TDRD3 complex [GO:0140225]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; histone H3 reader activity [GO:0140006]; histone H4 reader activity [GO:0140008]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]; DNA topological change [GO:0006265]
Q9H7N4	reviewed	SFR19_HUMAN	Splicing factor, arginine/serine-rich 19 (SR-related C-terminal domain-associated factor 1) (SR-related and CTD-associated factor 1) (SR-related-CTD-associated factor) (SCAF) (Serine arginine-rich pre-mRNA splicing factor SR-A1) (SR-A1)	SCAF1 SFRS19 SRA1	Homo sapiens (Human)	1312	nucleus [GO:0005634]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; RNA polymerase II C-terminal domain binding [GO:0099122]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; transcription by RNA polymerase II [GO:0006366]
Q9H814	reviewed	PHAX_HUMAN	Phosphorylated adapter RNA export protein (RNA U small nuclear RNA export adapter protein)	PHAX RNUXA	Homo sapiens (Human)	394	Cajal body [GO:0015030]; cytosol [GO:0005829]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; mRNA cap binding complex binding [GO:0140262]; RNA binding [GO:0003723]; toxic substance binding [GO:0015643]; protein transport [GO:0015031]; RNA stabilization [GO:0043489]; snRNA export from nucleus [GO:0006408]
Q9H840	reviewed	GEMI7_HUMAN	Gem-associated protein 7 (Gemin-7) (SIP3)	GEMIN7	Homo sapiens (Human)	131	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Gemini of Cajal bodies [GO:0097504]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; Sm-like protein family complex [GO:0120114]; SMN complex [GO:0032797]; SMN-Sm protein complex [GO:0034719]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]
Q9H875	reviewed	PKRI1_HUMAN	PRKR-interacting protein 1	PRKRIP1	Homo sapiens (Human)	184	extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; double-stranded RNA binding [GO:0003725]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]; mRNA processing [GO:0006397]; renal system process [GO:0003014]; RNA splicing [GO:0008380]
Q9H8H0	reviewed	NOL11_HUMAN	Nucleolar protein 11	NOL11 L14	Homo sapiens (Human)	719	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; t-UTP complex [GO:0034455]; RNA binding [GO:0003723]; maturation of SSU-rRNA [GO:0030490]; positive regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901838]
Q9H8H2	reviewed	DDX31_HUMAN	ATP-dependent DNA helicase DDX31 (EC 5.6.2.-) (DEAD box protein 31) (Helicain) (Probable ATP-dependent RNA helicase DDX31) (EC 3.6.4.13)	DDX31	Homo sapiens (Human)	851	Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; ribosome biogenesis [GO:0042254]
Q9H974	reviewed	QTRT2_HUMAN	Queuine tRNA-ribosyltransferase accessory subunit 2 (Queuine tRNA-ribosyltransferase domain-containing protein 1)	QTRT2 QTRTD1	Homo sapiens (Human)	415	cytoplasm [GO:0005737]; cytoplasmic side of mitochondrial outer membrane [GO:0032473]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; transferase complex [GO:1990234]; tRNA-guanine transglycosylase complex [GO:0120507]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; tRNA-guanosine(34) queuine transglycosylase activity [GO:0008479]; tRNA-guanine transglycosylation [GO:0101030]
